numero_cliente;regional;safra_inicio_obras;nps_vistoria;faixa_renda;idade;filhos;sexo;estado_civil;escolaridade;meses_para_entrega;status_assistencia;acionamentos_assistencia;nps_6m;nps_6m_target
1;SP;2020-2S;Neutro;FAIXA 1;36;0;0;Solteiro(a);Médio Completo;31;Procedente;5;Detrator;0
2;BA;2021-1S;Promotor;FAIXA 2;42;0;0;Solteiro(a);Médio Completo;26;Não Solicitou;1;Promotor;2
3;CE;2021-2S;Promotor;FAIXA 3;44;1;1;Solteiro(a);Superior Completo;23;AMBOS TIPOS;5;Promotor;2
4;BA;2021-2S;Promotor;FAIXA 1;33;0;0;Solteiro(a);Médio Completo;24;Procedente;3;Promotor;2
5;BA;2021-1S;Promotor;FAIXA 1;32;0;0;Solteiro(a);Médio Completo;26;Não Solicitou;0;Detrator;0
6;BA;2021-1S;Promotor;FAIXA 1;40;1;1;Solteiro(a);Médio Completo;26;AMBOS TIPOS;1;Promotor;2
7;BA;2021-2S;Detrator;FAIXA 1;31;0;0;Solteiro(a);Médio Completo;22;AMBOS TIPOS;2;Promotor;2
8;BA;2021-2S;Neutro;FAIXA 1;29;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Neutro;1
9;BA;2021-1S;Detrator;FAIXA 1;51;1;1;Solteiro(a);Médio Completo;26;Procedente;2;Promotor;2
10;BA;2021-1S;Detrator;FAIXA 2;34;1;1;Solteiro(a);Médio Completo;26;Não Solicitou;4;Promotor;2
11;BA;2022-1S;Detrator;FAIXA 1;42;1;1;Solteiro(a);Médio Completo;18;Procedente;1;Detrator;0
12;CE;2022-1S;Neutro;FAIXA 2;38;1;1;Divorciado(a);Médio Completo;19;AMBOS TIPOS;5;Detrator;0
1;SP;2020-2S;Neutro;FAIXA 1;36;0;0;Solteiro(a);Médio Completo;31;Procedente;5;Detrator;0
2;BA;2021-1S;Promotor;FAIXA 2;42;0;0;Solteiro(a);Médio Completo;26;Não Solicitou;1;Promotor;2
3;CE;2021-2S;Promotor;FAIXA 3;44;1;1;Solteiro(a);Superior Completo;23;AMBOS TIPOS;5;Promotor;2
4;BA;2021-2S;Promotor;FAIXA 1;33;0;0;Solteiro(a);Médio Completo;24;Procedente;3;Promotor;2
5;BA;2021-1S;Promotor;FAIXA 1;32;0;0;Solteiro(a);Médio Completo;26;Não Solicitou;0;Detrator;0
6;BA;2021-1S;Promotor;FAIXA 1;40;1;1;Solteiro(a);Médio Completo;26;AMBOS TIPOS;1;Promotor;2
7;BA;2021-2S;Detrator;FAIXA 1;31;0;0;Solteiro(a);Médio Completo;22;AMBOS TIPOS;2;Neutro;1
8;BA;2021-2S;Neutro;FAIXA 1;29;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Neutro;1
9;BA;2021-1S;Detrator;FAIXA 1;51;1;1;Solteiro(a);Médio Completo;26;Procedente;2;Promotor;2
10;BA;2021-1S;Detrator;FAIXA 2;34;1;1;Solteiro(a);Médio Completo;26;Não Solicitou;4;Promotor;2
11;BA;2022-1S;Detrator;FAIXA 1;42;1;1;Solteiro(a);Médio Completo;18;Procedente;1;Detrator;0
12;CE;2022-1S;Neutro;FAIXA 2;38;1;1;Divorciado(a);Médio Completo;19;AMBOS TIPOS;5;Detrator;0
13;BA;2022-1S;Detrator;FAIXA 1;29;1;1;Solteiro(a);Médio Completo;18;Improcedente;0;Detrator;0
14;BA;2021-2S;Detrator;FAIXA 2;38;0;0;Solteiro(a);Médio Completo;22;Não Solicitou;0;Promotor;2
15;BA;2021-2S;Promotor;FAIXA 1;51;0;0;Solteiro(a);Médio Completo;21;AMBOS TIPOS;4;Promotor;2
16;CE;2022-1S;Promotor;FAIXA 1;33;0;0;Solteiro(a);Médio Completo;19;AMBOS TIPOS;8;Neutro;1
17;CE;2022-1S;Detrator;FAIXA 1;33;0;0;Solteiro(a);Médio Completo;19;AMBOS TIPOS;1;Detrator;0
18;CE;2022-1S;Promotor;FAIXA 2;52;0;0;Casado(a);Médio Completo;19;Não Solicitou;0;Neutro;1
19;CE;2022-1S;Promotor;FAIXA 1;28;0;0;Solteiro(a);Médio Completo;19;Não Solicitou;1;Detrator;0
20;CE;2022-1S;Neutro;FAIXA 1;34;1;1;Casado(a);Médio Completo;19;Não Solicitou;4;Promotor;2
21;CE;2022-1S;Detrator;FAIXA 1;37;0;0;Solteiro(a);Médio Completo;19;Improcedente;1;Promotor;2
22;CE;2022-1S;Promotor;FAIXA 1;31;0;0;Solteiro(a);Médio Completo;19;Improcedente;0;Neutro;1
23;CE;2022-1S;Promotor;FAIXA 1;49;0;0;Solteiro(a);Médio Completo;19;Improcedente;1;Neutro;1
24;PE;2022-1S;Detrator;FAIXA 1;50;0;0;Solteiro(a);Médio Completo;23;Não Solicitou;0;Detrator;0
25;RJ;2022-1S;Neutro;FAIXA 2;32;0;0;Solteiro(a);Médio Completo;24;Procedente;1;Detrator;0
26;BA;2021-2S;Neutro;FAIXA 1;37;1;1;Casado(a);Superior Completo;27;Improcedente;0;Detrator;0
27;CE;2022-1S;Promotor;FAIXA 1;37;0;0;Solteiro(a);Médio Completo;19;Procedente;4;Promotor;2
28;RJ;2022-1S;Promotor;FAIXA 2;46;1;1;Solteiro(a);Médio Completo;24;Não Solicitou;2;Detrator;0
29;RJ;2022-1S;Promotor;FAIXA 3;65;0;0;Divorciado(a);Médio Completo;24;Não Solicitou;0;Promotor;2
30;RJ;2022-1S;Promotor;FAIXA 1;33;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;2;Promotor;2
31;RJ;2022-1S;Promotor;FAIXA 1;37;1;1;Solteiro(a);Médio Completo;24;AMBOS TIPOS;5;Promotor;2
32;RJ;2022-1S;Neutro;FAIXA 1;52;1;1;Solteiro(a);Médio Completo;24;Não Solicitou;1;Detrator;0
33;RJ;2022-1S;Neutro;FAIXA 3;47;0;0;Solteiro(a);Médio Completo;24;AMBOS TIPOS;5;Neutro;1
34;RJ;2022-1S;Detrator;FAIXA 2;50;0;0;Casado(a);Superior Completo;24;Improcedente;0;Detrator;0
35;RJ;2022-1S;Promotor;FAIXA 1;50;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;1;Neutro;1
36;RJ;2022-1S;Neutro;FAIXA 2;43;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Neutro;1
37;RJ;2022-1S;Detrator;FAIXA 2;45;1;1;Divorciado(a);Médio Completo;24;Improcedente;0;Detrator;0
38;RJ;2022-1S;Promotor;FAIXA 1;34;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;1;Neutro;1
39;RJ;2022-1S;Promotor;FAIXA 1;46;1;1;Solteiro(a);Médio Completo;24;Não Solicitou;3;Detrator;0
40;RJ;2022-1S;Promotor;FAIXA 1;28;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;0;Neutro;1
41;RJ;2022-1S;Promotor;FAIXA 2;26;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Detrator;0
42;RJ;2022-1S;Promotor;FAIXA 1;58;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;0;Promotor;2
43;RJ;2022-1S;Promotor;FAIXA 2;49;1;1;Divorciado(a);Médio Completo;24;Procedente;1;Promotor;2
44;RJ;2022-1S;Promotor;FAIXA 2;27;0;0;Solteiro(a);Superior Completo;24;Improcedente;0;Neutro;1
45;RJ;2022-1S;Promotor;FAIXA 1;34;0;0;Casado(a);Médio Completo;24;AMBOS TIPOS;12;Detrator;0
46;RJ;2022-1S;Neutro;FAIXA 1;50;0;0;Solteiro(a);Superior Incompleto;24;Não Solicitou;0;Promotor;2
47;RJ;2022-1S;Neutro;FAIXA 1;45;0;0;Casado(a);Médio Completo;24;Procedente;1;Neutro;1
48;RJ;2022-1S;Detrator;FAIXA 2;33;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;0;Neutro;1
49;RJ;2022-1S;Neutro;FAIXA 2;25;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;0;Neutro;1
50;RJ;2022-1S;Promotor;FAIXA 2;35;0;0;Solteiro(a);Superior Incompleto;24;AMBOS TIPOS;2;Neutro;1
51;RJ;2022-1S;Promotor;FAIXA 3;54;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;0;Neutro;1
52;RJ;2022-1S;Promotor;FAIXA 3;34;0;0;Solteiro(a);Médio Completo;24;AMBOS TIPOS;4;Detrator;0
53;RJ;2022-1S;Neutro;FAIXA 1;44;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;0;Detrator;0
54;RJ;2022-1S;Promotor;FAIXA 1;55;0;0;Casado(a);Médio Completo;24;Não Solicitou;0;Detrator;0
55;RJ;2022-1S;Promotor;FAIXA 1;33;1;1;Casado(a);Fundamental Completo;24;Não Solicitou;0;Detrator;0
56;RJ;2022-1S;Detrator;FAIXA 1;28;0;0;Solteiro(a);Fundamental Completo;24;AMBOS TIPOS;3;Detrator;0
57;RJ;2022-1S;Promotor;FAIXA 1;46;0;0;Solteiro(a);Médio Completo;24;Improcedente;0;Promotor;2
58;RJ;2022-1S;Promotor;FAIXA 2;28;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Neutro;1
59;RJ;2022-1S;Promotor;FAIXA 1;51;0;0;Casado(a);Médio Completo;24;AMBOS TIPOS;1;Promotor;2
60;RJ;2022-1S;Promotor;FAIXA 1;42;1;1;Solteiro(a);Médio Completo;24;Procedente;3;Promotor;2
61;RJ;2022-1S;Promotor;FAIXA 3;34;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Detrator;0
62;RJ;2022-1S;Detrator;FAIXA 1;43;2;2;Solteiro(a);Superior Completo;24;Não Solicitou;0;Detrator;0
63;RJ;2022-1S;Detrator;FAIXA 1;42;0;0;Solteiro(a);Médio Completo;24;Improcedente;0;Neutro;1
64;RJ;2022-1S;Promotor;FAIXA 1;33;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;2;Detrator;0
65;RJ;2022-1S;Promotor;FAIXA 1;51;0;0;Solteiro(a);Superior Incompleto;24;Improcedente;1;Promotor;2
66;RJ;2022-1S;Promotor;FAIXA 2;31;0;0;Solteiro(a);Superior Completo;24;Procedente;2;Detrator;0
67;RJ;2022-1S;Promotor;FAIXA 3;52;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;0;Neutro;1
68;RJ;2022-1S;Promotor;FAIXA 1;46;1;1;Casado(a);Médio Completo;24;Não Solicitou;0;Promotor;2
69;RJ;2022-1S;Neutro;FAIXA 1;51;1;1;Divorciado(a);Superior Completo;24;Não Solicitou;0;Detrator;0
70;RJ;2022-1S;Promotor;FAIXA 2;39;0;0;Divorciado(a);Superior Completo;24;Não Solicitou;0;Neutro;1
71;RJ;2022-1S;Promotor;FAIXA 2;32;0;0;Divorciado(a);Médio Completo;24;Não Solicitou;2;Neutro;1
72;RJ;2022-1S;Promotor;FAIXA 1;25;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Detrator;0
73;RJ;2022-1S;Neutro;FAIXA 2;46;1;1;Solteiro(a);Médio Completo;24;Não Solicitou;0;Detrator;0
74;RJ;2022-1S;Promotor;FAIXA 1;39;1;1;Solteiro(a);Médio Completo;24;Não Solicitou;0;Neutro;1
75;RJ;2022-1S;Promotor;FAIXA 1;38;1;1;Solteiro(a);Médio Completo;24;AMBOS TIPOS;2;Neutro;1
76;RJ;2022-1S;Promotor;FAIXA 1;54;1;1;Solteiro(a);Superior Completo;24;Procedente;4;Promotor;2
77;RJ;2022-1S;Neutro;FAIXA 1;29;0;0;Solteiro(a);Médio Completo;24;AMBOS TIPOS;1;Promotor;2
78;RJ;2022-1S;Detrator;FAIXA 1;43;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;1;Detrator;0
79;RJ;2022-1S;Promotor;FAIXA 1;42;0;0;Solteiro(a);Médio Completo;24;Não Solicitou;0;Promotor;2
80;RJ;2022-1S;Promotor;FAIXA 1;44;0;0;Solteiro(a);Médio Completo;24;Procedente;3;Detrator;0
81;RS;2022-1S;Neutro;FAIXA 1;36;0;0;Solteiro(a);Médio Completo;17;Não Solicitou;0;Neutro;1
82;BA;2021-1S;Promotor;FAIXA 1;37;0;0;Solteiro(a);Médio Completo;26;AMBOS TIPOS;2;Detrator;0
83;CE;2022-1S;Promotor;FAIXA 1;27;1;1;Solteiro(a);Médio Completo;19;Procedente;1;Promotor;2
84;CE;2022-1S;Neutro;FAIXA 1;26;1;1;Solteiro(a);Médio Completo;19;Procedente;1;Detrator;0
85;CE;2022-1S;Promotor;FAIXA 2;28;0;0;Solteiro(a);Superior Completo;19;Não Solicitou;1;Detrator;0
86;RJ;2022-1S;Promotor;FAIXA 1;34;1;1;Solteiro(a);Médio Completo;24;Não Solicitou;0;Promotor;2
87;RJ;2022-1S;Promotor;FAIXA 1;47;1;1;Solteiro(a);Médio Completo;24;Não Solicitou;0;Promotor;2
88;CE;2022-1S;Neutro;FAIXA 1;28;0;0;Solteiro(a);Médio Completo;19;Não Solicitou;0;Detrator;0
89;CE;2022-1S;Promotor;FAIXA 1;38;1;1;Divorciado(a);Médio Completo;19;Procedente;6;Neutro;1
90;RJ;2022-1S;Promotor;FAIXA 1;28;1;1;Solteiro(a);Médio Completo;27;Não Solicitou;4;Neutro;1
91;RJ;2022-1S;Neutro;FAIXA 3;60;2;2;Casado(a);Médio Completo;27;Não Solicitou;0;Promotor;2
92;RJ;2022-1S;Promotor;FAIXA 1;29;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;0;Neutro;1
93;RJ;2022-1S;Promotor;FAIXA 1;27;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;0;Detrator;0
94;RJ;2022-1S;Promotor;FAIXA 1;59;0;0;Casado(a);Médio Completo;27;AMBOS TIPOS;3;Promotor;2
95;RJ;2022-1S;Promotor;FAIXA 1;41;1;1;Solteiro(a);Médio Completo;27;Não Solicitou;0;Neutro;1
96;RJ;2022-1S;Promotor;FAIXA 1;40;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;0;Neutro;1
97;RJ;2022-1S;Detrator;FAIXA 1;38;1;1;Solteiro(a);Médio Completo;27;Não Solicitou;1;Detrator;0
98;RJ;2022-1S;Promotor;FAIXA 1;40;1;1;Solteiro(a);Médio Completo;27;AMBOS TIPOS;1;Promotor;2
99;RJ;2022-1S;Promotor;FAIXA 1;26;0;0;Solteiro(a);Médio Completo;27;Improcedente;0;Promotor;2
100;RJ;2022-1S;Promotor;FAIXA 1;30;0;0;Solteiro(a);Médio Completo;27;Procedente;5;Neutro;1
101;RJ;2022-1S;Promotor;FAIXA 1;26;0;0;Solteiro(a);Médio Completo;27;AMBOS TIPOS;3;Detrator;0
102;RJ;2022-1S;Neutro;FAIXA 2;23;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;0;Promotor;2
103;RJ;2022-1S;Promotor;FAIXA 1;56;0;0;Solteiro(a);Médio Completo;27;AMBOS TIPOS;1;Promotor;2
104;RJ;2022-1S;Promotor;FAIXA 1;52;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;2;Promotor;2
105;RJ;2022-1S;Promotor;FAIXA 1;51;2;2;Divorciado(a);Médio Completo;27;Improcedente;1;Promotor;2
106;RJ;2022-1S;Promotor;FAIXA 1;53;1;1;Solteiro(a);Médio Completo;27;Procedente;5;Detrator;0
107;RJ;2022-1S;Promotor;FAIXA 1;45;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;0;Neutro;1
108;RJ;2022-1S;Promotor;FAIXA 1;47;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;2;Promotor;2
109;RJ;2022-1S;Detrator;FAIXA 1;25;0;0;Solteiro(a);Médio Completo;27;Procedente;1;Detrator;0
110;RJ;2022-1S;Promotor;FAIXA 3;26;0;0;Solteiro(a);Superior Incompleto;27;Não Solicitou;0;Neutro;1
111;RJ;2022-1S;Detrator;FAIXA 1;40;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;0;Detrator;0
112;RJ;2022-1S;Promotor;FAIXA 1;49;1;1;Solteiro(a);Médio Completo;27;AMBOS TIPOS;1;Promotor;2
113;BA;2021-1S;Detrator;FAIXA 1;48;1;1;Solteiro(a);Médio Completo;26;Procedente;4;Promotor;2
114;BA;2021-1S;Neutro;FAIXA 1;43;1;1;Solteiro(a);Superior Completo;26;AMBOS TIPOS;1;Neutro;1
115;CE;2022-1S;Neutro;FAIXA 1;33;2;2;Solteiro(a);Médio Completo;19;Não Solicitou;1;Detrator;0
116;CE;2022-1S;Neutro;FAIXA 1;32;0;0;Solteiro(a);Médio Completo;19;Não Solicitou;1;Detrator;0
117;RJ;2022-1S;Neutro;FAIXA 1;21;0;0;Solteiro(a);Médio Completo;27;Improcedente;1;Detrator;0
118;RJ;2022-1S;Promotor;FAIXA 1;58;0;0;Solteiro(a);Médio Completo;27;Improcedente;4;Detrator;0
119;RJ;2022-1S;Promotor;FAIXA 2;29;1;1;Solteiro(a);Médio Completo;24;AMBOS TIPOS;3;Detrator;0
120;CE;2022-1S;Detrator;FAIXA 1;34;0;0;Solteiro(a);Médio Completo;19;AMBOS TIPOS;11;Detrator;0
121;CE;2022-1S;Promotor;FAIXA 1;38;0;0;Casado(a);Médio Completo;19;AMBOS TIPOS;7;Detrator;0
122;RJ;2022-1S;Promotor;FAIXA 1;34;0;0;Solteiro(a);Médio Completo;27;Improcedente;0;Neutro;1
123;RS;2022-1S;Promotor;FAIXA 1;30;1;1;Divorciado(a);Médio Completo;17;Não Solicitou;7;Neutro;1
124;RJ;2022-1S;Promotor;FAIXA 1;53;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;5;Promotor;2
125;CE;2022-1S;Promotor;FAIXA 1;39;0;0;Casado(a);Médio Completo;19;AMBOS TIPOS;2;Neutro;1
126;PE;2022-1S;Promotor;FAIXA 1;45;1;1;Divorciado(a);Médio Completo;23;Não Solicitou;1;Promotor;2
127;CE;2022-1S;Detrator;FAIXA 1;43;1;1;Divorciado(a);Superior Completo;19;Não Solicitou;2;Detrator;0
128;RJ;2022-1S;Neutro;FAIXA 1;29;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;0;Detrator;0
129;BA;2021-2S;Promotor;FAIXA 1;28;0;0;Solteiro(a);Médio Completo;21;Procedente;4;Detrator;0
130;PE;2022-1S;Promotor;FAIXA 1;36;1;1;Solteiro(a);Médio Completo;21;Não Solicitou;2;Promotor;2
131;CE;2022-1S;Neutro;FAIXA 3;54;0;0;Solteiro(a);Médio Completo;19;Improcedente;0;Detrator;0
132;RJ;2022-1S;Neutro;FAIXA 2;37;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Neutro;1
133;PE;2022-1S;Detrator;FAIXA 1;28;0;0;Solteiro(a);Médio Completo;21;Improcedente;0;Detrator;0
134;RJ;2022-1S;Promotor;FAIXA 1;49;0;0;Solteiro(a);Médio Completo;27;AMBOS TIPOS;6;Promotor;2
135;BA;2021-2S;Detrator;FAIXA 2;38;0;0;Solteiro(a);Médio Completo;22;Não Solicitou;0;Detrator;0
136;CE;2022-1S;Promotor;FAIXA 1;49;0;0;Casado(a);Médio Completo;19;Procedente;9;Neutro;1
137;RJ;2022-1S;Neutro;FAIXA 1;26;0;0;Solteiro(a);Médio Completo;27;Procedente;3;Promotor;2
138;RJ;2022-1S;Promotor;FAIXA 1;28;0;0;Solteiro(a);Superior Completo;27;AMBOS TIPOS;1;Promotor;2
139;PE;2022-1S;Promotor;FAIXA 1;28;0;0;Solteiro(a);Médio Completo;23;Não Solicitou;1;Promotor;2
140;CE;2022-1S;Detrator;FAIXA 1;27;0;0;Solteiro(a);Médio Completo;19;Não Solicitou;4;Detrator;0
141;CE;2021-2S;Promotor;FAIXA 1;31;1;1;Solteiro(a);Médio Completo;23;Procedente;1;Promotor;2
142;BA;2021-1S;Detrator;FAIXA 1;54;0;0;Divorciado(a);Médio Completo;26;Não Solicitou;0;Detrator;0
143;CE;2022-1S;Promotor;FAIXA 1;41;0;0;Solteiro(a);Médio Completo;19;Não Solicitou;1;Promotor;2
144;PE;2022-1S;Neutro;FAIXA 1;25;0;0;Solteiro(a);Médio Completo;23;Não Solicitou;0;Detrator;0
145;BA;2021-2S;Promotor;FAIXA 1;42;1;1;Divorciado(a);Médio Completo;24;Não Solicitou;0;Promotor;2
146;CE;2022-1S;Promotor;FAIXA 1;51;0;0;Casado(a);Médio Completo;19;AMBOS TIPOS;4;Detrator;0
147;BA;2021-2S;Promotor;FAIXA 1;49;1;1;Solteiro(a);Médio Completo;21;Não Solicitou;1;Promotor;2
148;BA;2021-1S;Promotor;FAIXA 1;48;0;0;Casado(a);Médio Completo;26;Procedente;1;Neutro;1
149;SP;2020-2S;Promotor;FAIXA 1;39;0;0;Solteiro(a);Superior Incompleto;28;Improcedente;1;Neutro;1
150;RJ;2022-1S;Promotor;FAIXA 1;24;1;1;Solteiro(a);Médio Completo;27;Não Solicitou;0;Detrator;0
151;RJ;2022-1S;Promotor;FAIXA 1;49;1;1;Solteiro(a);Médio Completo;27;Procedente;3;Promotor;2
152;RJ;2022-1S;Promotor;FAIXA 2;65;1;1;Casado(a);Médio Completo;27;AMBOS TIPOS;3;Detrator;0
153;RJ;2022-1S;Promotor;FAIXA 1;42;0;0;Casado(a);Médio Completo;27;Não Solicitou;0;Promotor;2
154;BA;2021-2S;Promotor;FAIXA 1;44;0;0;Solteiro(a);Médio Completo;21;Não Solicitou;0;Promotor;2
155;RJ;2022-1S;Promotor;FAIXA 2;26;1;1;Solteiro(a);Médio Completo;27;Procedente;2;Promotor;2
156;RJ;2022-1S;Promotor;FAIXA 1;57;1;1;Casado(a);Médio Completo;27;Não Solicitou;1;Promotor;2
157;RJ;2022-1S;Promotor;FAIXA 1;40;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;2;Promotor;2
158;RJ;2022-1S;Promotor;FAIXA 1;24;0;0;Solteiro(a);Médio Completo;27;Não Solicitou;3;Promotor;2
159;RJ;2022-1S;Promotor;FAIXA 1;57;1;1;Solteiro(a);Médio Completo;27;Improcedente;1;Promotor;2
160;RJ;2022-1S;Promotor;FAIXA 1;46;0;0;Solteiro(a);Médio Completo;27;AMBOS TIPOS;1;Detrator;0
161;RS;2022-1S;Promotor;FAIXA 1;33;1;1;Solteiro(a);Médio Completo;17;Improcedente;0;Promotor;2
162;RJ;2022-1S;Detrator;FAIXA 1;29;0;0;Solteiro(a);Superior Completo;27;Procedente;1;Promotor;2
163;SP;2020-2S;Promotor;FAIXA 2;60;0;0;Divorciado(a);Médio Incompleto;35;AMBOS TIPOS;10;Promotor;2
164;SP;2020-2S;Promotor;FAIXA 2;56;0;0;Solteiro(a);Superior Completo;35;AMBOS TIPOS;1;Detrator;0
165;SP;2020-2S;Promotor;FAIXA 2;31;0;0;Divorciado(a);Superior Completo;35;AMBOS TIPOS;1;Promotor;2
166;SP;2020-2S;Detrator;FAIXA 2;39;0;0;Solteiro(a);Superior Completo;35;AMBOS TIPOS;5;Detrator;0
167;SP;2020-2S;Promotor;FAIXA 3;62;0;0;Casado(a);Superior Incompleto;35;AMBOS TIPOS;1;Neutro;1
168;SP;2020-2S;Detrator;FAIXA 1;28;0;0;Solteiro(a);Superior Completo;35;Não Solicitou;1;Neutro;1
169;SP;2020-2S;Detrator;FAIXA 3;41;1;1;Solteiro(a);Médio Completo;35;AMBOS TIPOS;11;Detrator;0
170;SP;2020-2S;Detrator;FAIXA 2;45;0;0;Solteiro(a);Médio Completo;35;AMBOS TIPOS;2;Detrator;0
171;SP;2020-2S;Neutro;FAIXA 2;53;0;0;Casado(a);Superior Completo;35;Procedente;1;Detrator;0
172;SP;2020-2S;Promotor;FAIXA 1;37;1;1;Divorciado(a);Superior Incompleto;35;AMBOS TIPOS;1;Detrator;0
173;SP;2020-2S;Neutro;FAIXA 1;36;0;0;Solteiro(a);Superior Completo;35;AMBOS TIPOS;1;Detrator;0
174;SP;2020-2S;Detrator;FAIXA 1;39;0;0;Solteiro(a);Superior Completo;35;Não Solicitou;4;Detrator;0
175;SP;2020-2S;Neutro;FAIXA 2;48;1;1;Casado(a);Médio Completo;35;AMBOS TIPOS;17;Detrator;0
176;SP;2020-2S;Neutro;FAIXA 1;43;0;0;Solteiro(a);Médio Completo;35;Não Solicitou;4;Promotor;2
177;SP;2020-2S;Detrator;FAIXA 1;40;0;0;Solteiro(a);Superior Completo;35;AMBOS TIPOS;13;Detrator;0
178;SP;2020-2S;Promotor;FAIXA 1;33;1;1;Solteiro(a);Superior Completo;35;AMBOS TIPOS;1;Detrator;0
179;SP;2020-2S;Promotor;FAIXA 1;37;0;0;Casado(a);Médio Completo;35;Procedente;1;Detrator;0
180;SP;2020-2S;Neutro;FAIXA 3;50;0;0;Casado(a);Superior Completo;35;Procedente;1;Detrator;0
181;SP;2020-2S;Neutro;FAIXA 2;49;0;0;Solteiro(a);Médio Completo;35;Não Solicitou;0;Detrator;0
182;SP;2020-2S;Neutro;FAIXA 1;31;0;0;Solteiro(a);Superior Completo;35;Não Solicitou;1;Detrator;0
183;SP;2020-2S;Detrator;FAIXA 1;29;2;2;Solteiro(a);Médio Completo;35;AMBOS TIPOS;3;Detrator;0
184;SP;2020-2S;Promotor;FAIXA 3;60;0;0;Casado(a);Superior Completo;35;Procedente;2;Promotor;2
185;SP;2020-2S;Promotor;FAIXA 2;28;0;0;Solteiro(a);Médio Completo;35;Não Solicitou;0;Neutro;1
186;SP;2020-2S;Detrator;FAIXA 2;27;0;0;Solteiro(a);Médio Completo;35;AMBOS TIPOS;3;Detrator;0
187;SP;2020-2S;Promotor;FAIXA 2;37;0;0;Solteiro(a);Médio Completo;35;Não Solicitou;0;Promotor;2
188;SP;2020-2S;Promotor;FAIXA 3;48;1;1;Casado(a);Superior Completo;35;AMBOS TIPOS;1;Promotor;2
189;SP;2020-2S;Promotor;FAIXA 1;31;1;1;Casado(a);Médio Completo;35;Não Solicitou;2;Promotor;2
190;SP;2020-2S;Detrator;FAIXA 1;27;0;0;Solteiro(a);Médio Completo;35;Improcedente;1;Detrator;0
191;SP;2020-2S;Promotor;FAIXA 1;43;0;0;Casado(a);Médio Completo;35;Não Solicitou;1;Promotor;2
192;SP;2020-2S;Detrator;FAIXA 1;31;1;1;Solteiro(a);Superior Completo;35;AMBOS TIPOS;10;Detrator;0
193;SP;2020-2S;Promotor;FAIXA 2;37;0;0;Casado(a);Superior Completo;35;Procedente;2;Detrator;0
194;SP;2020-2S;Detrator;FAIXA 1;37;1;1;Solteiro(a);Superior Completo;35;AMBOS TIPOS;5;Promotor;2
195;SP;2020-2S;Detrator;FAIXA 1;30;0;0;Casado(a);Médio Completo;35;AMBOS TIPOS;0;Detrator;0
196;SP;2020-2S;Promotor;FAIXA 1;47;0;0;Solteiro(a);Superior Completo;35;AMBOS TIPOS;2;Promotor;2
197;SP;2020-2S;Promotor;FAIXA 2;45;0;0;Solteiro(a);Médio Completo;35;AMBOS TIPOS;2;Neutro;1
198;SP;2020-2S;Neutro;FAIXA 1;40;1;1;Divorciado(a);Superior Completo;35;Não Solicitou;0;Neutro;1
199;SP;2020-2S;Promotor;FAIXA 1;31;0;0;Casado(a);Superior Completo;35;Procedente;7;Promotor;2
200;SP;2020-2S;Neutro;FAIXA 1;43;0;0;Solteiro(a);Superior Completo;35;Procedente;3;Promotor;2
201;SP;2020-2S;Neutro;FAIXA 2;14;0;0;Solteiro(a);Superior Completo;35;Procedente;4;Detrator;0
202;SP;2020-2S;Detrator;FAIXA 3;39;0;0;Solteiro(a);Superior Completo;35;Não Solicitou;0;Detrator;0
203;SP;2020-2S;Promotor;FAIXA 1;51;0;0;Solteiro(a);Superior Incompleto;35;Improcedente;6;Promotor;2
204;SP;2020-2S;Detrator;FAIXA 2;36;0;0;Casado(a);Médio Completo;35;Não Solicitou;0;Detrator;0
