numero_cliente;regional;safra_inicio_obras;nps_vistoria;faixa_renda;idade;filhos;sexo;estado_civil;escolaridade;meses_para_entrega;status_assistencia;acionamentos_assistencia;nps_6m;nps_6m_target
2417;RJ;2023-1S;Neutro;FAIXA 1;39;0;0;Solteiro(a);Médio Completo;13;Procedente;2;Promotor;2
2418;RJ;2023-1S;Neutro;FAIXA 1;45;2;2;Solteiro(a);Médio Completo;13;Procedente;5;Promotor;2
2419;RJ;2023-1S;Promotor;FAIXA 2;42;1;1;Solteiro(a);Superior Completo;13;Procedente;3;Promotor;2
2420;RJ;2023-1S;Promotor;FAIXA 2;27;0;0;Solteiro(a);Médio Completo;13;Não Solicitou;0;Neutro;1
2421;RJ;2023-1S;Promotor;FAIXA 2;24;0;0;Solteiro(a);Médio Completo;13;Procedente;4;Promotor;2
2422;RJ;2023-1S;Promotor;FAIXA 1;33;1;1;Solteiro(a);Médio Completo;13;Procedente;1;Promotor;2
2423;RJ;2023-1S;Promotor;FAIXA 4;36;0;0;Solteiro(a);Superior Completo;13;Não Solicitou;10;Promotor;2
2424;RS;2023-2S;Promotor;FAIXA 1;43;1;1;Solteiro(a);Médio Completo;17;Procedente;2;Detrator;0
2425;RS;2023-2S;Promotor;FAIXA 1;22;0;0;Solteiro(a);Médio Completo;17;Procedente;3;Neutro;1
2426;RS;2023-2S;Promotor;FAIXA 1;41;1;1;Solteiro(a);Médio Completo;17;Procedente;3;Promotor;2
2427;GO;2023-2S;Promotor;FAIXA 1;44;1;1;Divorciado(a);Médio Completo;16;Não Solicitou;0;Detrator;0
2428;RJ;2023-1S;Promotor;FAIXA 1;23;0;0;Solteiro(a);Superior Incompleto;25;Não Solicitou;0;Promotor;2
2429;RJ;2023-1S;Promotor;FAIXA 2;29;1;1;Solteiro(a);Superior Incompleto;13;Não Solicitou;0;Detrator;0
2430;RJ;2023-1S;Promotor;FAIXA 4;40;1;1;Solteiro(a);Superior Incompleto;13;Procedente;5;Promotor;2
2431;BA;2023-2S;Promotor;FAIXA 1;29;1;1;Casado(a);Médio Completo;15;Não Solicitou;0;Detrator;0
2432;BA;2023-2S;Promotor;FAIXA 2;57;0;0;Solteiro(a);Médio Incompleto;15;Não Solicitou;0;Promotor;2
2433;BA;2023-2S;Detrator;FAIXA 1;46;0;0;Solteiro(a);Médio Completo;15;Não Solicitou;0;Detrator;0
2434;BA;2022-2S;Promotor;FAIXA 3;42;0;0;Casado(a);Médio Completo;28;Procedente;4;Promotor;2
2435;BA;2022-2S;Promotor;FAIXA 1;30;2;2;Solteiro(a);Superior Completo;28;Não Solicitou;0;Neutro;1
2436;SP;2022-1S;Promotor;FAIXA 3;45;0;0;Solteiro(a);Médio Completo;36;Não Solicitou;0;Promotor;2
2437;CE;2023-1S;Detrator;FAIXA 2;38;0;0;Solteiro(a);Médio Completo;24;Procedente;1;Detrator;0
2438;RJ;2023-1S;Promotor;FAIXA 1;46;1;1;Solteiro(a);Médio Completo;25;Não Solicitou;0;Detrator;0
2439;GO;2023-2S;Promotor;FAIXA 1;32;2;2;Solteiro(a);Médio Completo;16;Procedente;2;Promotor;2
2440;GO;2023-2S;Promotor;FAIXA 1;45;0;0;Solteiro(a);Superior Completo;16;Não Solicitou;0;Promotor;2
2441;GO;2023-2S;Promotor;FAIXA 1;44;0;0;Solteiro(a);Médio Completo;16;Procedente;1;Promotor;2
2442;RS;2023-2S;Promotor;FAIXA 1;27;1;1;Solteiro(a);Superior Incompleto;22;Não Solicitou;0;Detrator;0
2443;RS;2023-2S;Promotor;FAIXA 1;50;1;1;Solteiro(a);Médio Completo;22;Não Solicitou;0;Neutro;1
2444;RS;2023-2S;Detrator;FAIXA 2;43;0;0;Solteiro(a);Médio Completo;22;Não Solicitou;0;Neutro;1
2445;RS;2023-2S;Neutro;FAIXA 1;23;0;0;Solteiro(a);Médio Completo;22;Procedente;2;Detrator;0
2446;RS;2023-2S;Promotor;FAIXA 1;25;0;0;Solteiro(a);Médio Completo;22;Não Solicitou;0;Neutro;1
2447;RS;2023-2S;Promotor;FAIXA 1;34;1;1;Solteiro(a);Médio Completo;22;Não Solicitou;0;Detrator;0
2448;RS;2023-2S;Promotor;FAIXA 1;38;0;0;Solteiro(a);Médio Completo;22;Procedente;3;Detrator;0
